tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Episodetconst,seasonNumber,episodeNumber,AverageRating,NumVotes,titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0361243,tvSeries,star wars: clone wars,Star Wars: Clone Wars,0,2003,2005,133,"Action,Adventure,Animation",tt0859547,3,5,8.7,467,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10819950,1,1,5.4,10,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10819954,1,2,5.6,9,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10855758,1,3,5.8,9,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10902012,1,4,6.2,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10931026,1,5,6.5,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10956464,1,6,6.4,7,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt10990672,1,7,6.1,8,,,,,,,,
tt2930604,tvSeries,star wars: rebels,Star Wars: Rebels,0,2014,2018,22,"Action,Adventure,Animation",tt11005164,2,21,9.3,1535,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11027428,1,8,6.1,8,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038450,1,1,,,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038522,1,2,,,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038622,1,3,,,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038658,1,4,,,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038816,1,5,,,,,,,,,,
tt11038354,tvSeries,star wars: crusade of the rebellion,Star Wars: Crusade of the Rebellion,0,2018,\N,\N,Sci-Fi,tt11038826,1,6,,,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11067538,1,9,6.1,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11107432,1,10,6.2,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11143354,1,11,6.1,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11178316,1,12,6.2,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11189004,1,13,6.1,8,,,,,,,,
tt2930604,tvSeries,star wars: rebels,Star Wars: Rebels,0,2014,2018,22,"Action,Adventure,Animation",tt11278778,2,3,8,1089,,,,,,,,
tt2930604,tvSeries,star wars: rebels,Star Wars: Rebels,0,2014,2018,22,"Action,Adventure,Animation",tt11941564,1,3,6.7,1027,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt11991120,1,14,6.8,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt12035698,1,15,6.8,8,,,,,,,,
tt10799452,tvSeries,star wars: roll out,Star Wars: Roll Out,0,2019,2020,\N,"Animation,Family,Sci-Fi",tt12083354,1,16,6,7,,,,,,,,
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt12711128,1,1,8.9,5452,tt12711128,2,Aftermath,\N,\N,original,\N,1
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1288767,1,1,7.3,4128,tt1288767,1,Ambush,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1288768,1,2,7.4,3652,tt1288768,1,Rising Malevolence,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1292833,1,4,7.4,3328,tt1292833,1,Destroy Malevolence,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1292834,1,6,6.7,3080,tt1292834,1,Downfall of a Droid,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1292835,1,5,7.9,3592,tt1292835,1,Rookies,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1292836,1,3,7.3,3425,tt1292836,1,Shadow of Malevolence,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1320037,1,7,7.2,3059,tt1320037,1,Duel of the Droids,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1322834,1,10,8.1,3247,tt1322834,1,Lair of Grievous,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1322835,1,11,7.3,2886,tt1322835,1,Dooku Captured,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1322836,1,8,6.1,3147,tt1322836,1,Bombad Jedi,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1322837,1,9,8,3171,tt1322837,1,Cloak of Darkness,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1345253,1,14,7.4,2799,tt1345253,1,Defenders of Peace,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1345254,1,13,7.4,2824,tt1345254,1,Jedi Crash,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1345675,1,12,7,2816,tt1345675,1,The Gungan General,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1345740,1,15,7.7,2882,tt1345740,1,Trespass,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1371607,1,17,6.7,2706,tt1371607,1,Blue Shadow Virus,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1371608,1,16,7.7,2902,tt1371608,1,The Hidden Enemy,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1380659,1,22,7.9,2779,tt1380659,1,Hostage Crisis,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1380660,1,20,8,2835,tt1380660,1,Innocents of Ryloth,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1380662,1,21,7.6,2678,tt1380662,1,Liberty on Ryloth,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1380663,1,18,7,2629,tt1380663,1,Mystery of a Thousand Moons,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1380664,1,19,7.6,2739,tt1380664,1,Storm Over Ryloth,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14120078,1,2,7.5,3904,tt14120078,1,Cut and Run,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14149802,1,3,7.8,3333,tt14149802,1,Replacements,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14417986,1,5,7.3,2826,tt14417986,1,Rampage,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14417988,1,4,7.5,3003,tt14417988,1,Cornered,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418064,1,7,8.4,2997,tt14418064,1,Battle Scars,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418066,1,6,7.2,2815,tt14418066,1,Decommissioned,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418068,1,10,7.4,2376,tt14418068,1,Common Ground,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418070,1,9,8.3,2578,tt14418070,1,Bounty Lost,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418072,1,8,8.8,3073,tt14418072,1,Reunion,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418672,1,11,7.9,2506,tt14418672,1,Devil's Deal,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418674,1,12,8,2279,tt14418674,1,Rescue on Ryloth,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418676,1,14,8.4,2281,tt14418676,1,War-Mantle,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14418678,1,13,6.5,2214,tt14418678,1,Infested,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14576488,1,15,9,2472,tt14576488,1,Return to Kamino,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt14576506,1,16,8.1,2115,tt14576506,1,Kamino Lost,US,\N,\N,\N,0
tt2930604,tvSeries,star wars: rebels,Star Wars: Rebels,0,2014,2018,22,"Action,Adventure,Animation",tt14618204,3,2,7.9,347,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1517135,2,2,8,2655,tt1517135,1,Cargo of Doom,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1517136,2,3,7.7,2562,tt1517136,1,Children of the Force,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1517137,2,1,7.9,2694,tt1517137,1,Holocron Heist,US,\N,\N,\N,0
tt12708542,tvSeries,star wars: the bad batch,Star Wars: The Bad Batch,0,2021,\N,\N,"Action,Adventure,Animation",tt15176372,2,1,7.9,26772,tt15176372,7,Episodio #2.1,IT,it,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1531365,2,4,7,2460,tt1531365,1,Senate Spy,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1535506,2,5,8.2,2830,tt1535506,1,Landing at Point Rain,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1541414,2,6,7.8,2534,tt1541414,1,Weapons Factory,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1555788,2,8,8,2578,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1555789,2,7,7.7,2496,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558186,2,10,8.1,2568,,,,,,,,
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558187,2,11,7.6,2492,tt1558187,1,Lightsaber Lost,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558188,2,12,8,2620,tt1558188,1,The Mandalore Plot,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558189,2,13,8.1,2615,tt1558189,1,Voyage of Temptation,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558190,2,14,7.6,2442,tt1558190,1,Duchess of Mandalore,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558191,2,15,6.8,2257,tt1558191,1,Senate Murders,US,\N,\N,\N,0
tt0458290,tvSeries,star wars: the clone wars,Star Wars: The Clone Wars,0,2008,2020,23,"Action,Adventure,Animation",tt1558192,2,16,7.5,2568,tt1558192,1,Cat and Mouse,US,\N,\N,\N,0
