Year,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Awards,Metascore,imdbVotes,imdbRating,RottenTomatoScore
1977,Star Wars: Episode IV - A New Hope,PG,5/25/77,121 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",Won 6 Oscars. Another 52 wins & 28 nominations.,90,1181083,8.6,0.92
1980,Star Wars: Episode V - The Empire Strikes Back,PG,6/20/80,124 min,"Action, Adventure, Fantasy, Sci-Fi",Irvin Kershner,"Leigh Brackett (screenplay by), Lawrence Kasdan (screenplay by), George Lucas (story by)","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Won 1 Oscar. Another 24 wins & 20 nominations.,82,1109656,8.7,0.94
1983,Star Wars: Episode VI - Return of the Jedi,PG,5/25/83,131 min,"Action, Adventure, Fantasy, Sci-Fi",Richard Marquand,"Lawrence Kasdan (screenplay by), George Lucas (screenplay by), George Lucas (story by)","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Nominated for 4 Oscars. Another 22 wins & 16 nominations.,58,912250,8.3,0.82
1999,Star Wars: Episode I - The Phantom Menace,PG,5/19/99,136 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",Nominated for 3 Oscars. Another 26 wins & 65 nominations.,51,698744,6.5,0.53
2002,Star Wars: Episode II - Attack of the Clones,PG,5/16/02,142 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,"George Lucas (screenplay by), Jonathan Hales (screenplay by), George Lucas (story by)","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",Nominated for 1 Oscar. Another 19 wins & 63 nominations.,54,613768,6.5,0.65
2005,Star Wars: Episode III - Revenge of the Sith,PG-13,5/19/05,140 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",Nominated for 1 Oscar. Another 26 wins & 61 nominations.,68,681075,7.5,0.8
2015,Star Wars: Episode VII - The Force Awakens,PG-13,12/18/15,138 min,"Action, Adventure, Sci-Fi",J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)","Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",Nominated for 5 Oscars. Another 62 wins & 125 nominations.,80,833706,7.9,0.93
2017,Star Wars: Episode VIII - The Last Jedi,PG-13,12/15/17,152 min,"Action, Adventure, Fantasy, Sci-Fi",Rian Johnson,"Rian Johnson, George Lucas (based on characters created by)","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Nominated for 4 Oscars. Another 22 wins & 88 nominations.,85,532835,7,0.91
2019,Star Wars: Episode IX - The Rise of Skywalker,PG-13,12/20/19,142 min,"Action, Adventure, Fantasy, Sci-Fi",J.J. Abrams,"Chris Terrio (screenplay by), J.J. Abrams (screenplay by), Derek Connolly (story by), Colin Trevorrow (story by), Chris Terrio (story by), J.J. Abrams (story by), George Lucas (based on characters created by)","Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley",Nominated for 3 Oscars. Another 7 wins & 35 nominations.,53,294411,6.7,0.52
